ORGANIZATION NAME,ORGANIZATION ID (IPF),PROJECT NUMBER,FUNDING MECHANISM,NIH REFERENCE,PI NAME,PI PERSON ID,PROJECT TITLE,DEPT NAME,NIH DEPT COMBINNING NAME,NIH MC COMBINING NAME,DIRECT COST,INDIRECT COST,FUNDING,CONGRESSIONAL DISTRICT,CITY,STATE OR COUNTRY NAME,ZIP CODE,ATTRIBUTED TO MEDICAL SCHOOL,MEDICAL SCHOOL LOCATION,INSTITUTION TYPE,AWARD NOTICE DATE,FOA
UNIV OF NORTH CAROLINA CHAPEL HILL,578206,5R01MH120314-05,RPGs - Non SBIR/STTR,10904991,"SHERIDAN, MARGARET ANN",8840875,Neural pathways linking early adversity and preschool psychopathology to adolescent mental health,PSYCHOLOGY AND NEUROSCIENCE,PSYCHOLOGY,SCHOOLS OF ARTS AND SCIENCES,"$605,818","$105,928","$711,746",4,CHAPEL HILL,NORTH CAROLINA,27599,,UNIVERSITY OF NORTH CAROLINA SCH OF MED,SCHOOLS OF ARTS AND SCIENCES,8/1/24,PA-19-056
UNIV OF NORTH CAROLINA CHAPEL HILL,578206,5K23MH129564-04,Other Research-Related,10904955,"FEURER, COPE",16472159,Brain-Behavioral Predictors of Interpersonal Stress Generation and Depression Risk in Adolescent Girls,PSYCHIATRY,PSYCHIATRY,SCHOOLS OF MEDICINE,"$181,138","$14,491","$195,629",4,CHAPEL HILL,NORTH CAROLINA,27599,Y,UNIVERSITY OF NORTH CAROLINA SCH OF MED,SCHOOLS OF MEDICINE,8/1/24,PA-20-205
UNIV OF NORTH CAROLINA CHAPEL HILL,578206,5TL1DK139567-02,Training - Institutional,10903819,"HOGAN, SUSAN LYNN",6708266,TRIO NRSA Training Core,MEDICINE,INTERNAL MEDICINE/MEDICINE,SCHOOLS OF MEDICINE,"$719,376","$47,870","$767,246",4,CHAPEL HILL,NORTH CAROLINA,27599,Y,UNIVERSITY OF NORTH CAROLINA SCH OF MED,SCHOOLS OF MEDICINE,6/10/24,PAR-20-220
UNIV OF NORTH CAROLINA CHAPEL HILL,578206,5K23HD112809-02,Other Research-Related,10903842,"GRZADZINSKI, REBECCA LYNN",15679286,Infant arousal as a predictor of functional outcomes in Down syndrome (DS),PSYCHIATRY,PSYCHIATRY,SCHOOLS OF MEDICINE,"$156,921","$12,554","$169,475",4,CHAPEL HILL,NORTH CAROLINA,27599,Y,UNIVERSITY OF NORTH CAROLINA SCH OF MED,SCHOOLS OF MEDICINE,7/2/24,PA-20-205
UNIV OF NORTH CAROLINA CHAPEL HILL,578206,5R21AI174898-02,RPGs - Non SBIR/STTR,10903879,"BROWNE, EDWARD P",10246897,Understanding HIV reservoir formation by profiling transcriptomic and epigenetic changes in CD4 T cells following ART initiation,MEDICINE,INTERNAL MEDICINE/MEDICINE,SCHOOLS OF MEDICINE,"$100,000","$55,500","$155,500",4,CHAPEL HILL,NORTH CAROLINA,27599,Y,UNIVERSITY OF NORTH CAROLINA SCH OF MED,SCHOOLS OF MEDICINE,7/18/24,PA-20-195
UNIV OF NORTH CAROLINA CHAPEL HILL,578206,5R01DK125831-05,RPGs - Non SBIR/STTR,10903741,"BERKOWITZ, SETH A",11752932,Food is Medicine: A Randomized Clinical Trial of Medically Tailored Meals For Individuals with Type 2 Diabetes Mellitus and Food Insecurity,MEDICINE,INTERNAL MEDICINE/MEDICINE,SCHOOLS OF MEDICINE,"$433,098","$134,796","$567,894",4,CHAPEL HILL,NORTH CAROLINA,27599,Y,UNIVERSITY OF NORTH CAROLINA SCH OF MED,SCHOOLS OF MEDICINE,8/14/24,PA-18-330
UNIV OF NORTH CAROLINA CHAPEL HILL,578206,1R21NS133873-01A1,RPGs - Non SBIR/STTR,10904476,"HEINZEN, ERIN L",8009374,Genotype-informed single cell transcriptomic profiling of mosaic brain tissue,NONE,NONE,SCHOOLS OF PHARMACY,"$175,000","$93,410","$268,410",4,CHAPEL HILL,NORTH CAROLINA,27599,,UNIVERSITY OF NORTH CAROLINA SCH OF MED,SCHOOLS OF PHARMACY,5/29/24,PA-21-219
UNIV OF NORTH CAROLINA CHAPEL HILL,578206,1R21AA031415-01A1,RPGs - Non SBIR/STTR,10904368,"ROBINSON, DONITA L",6608090,Role of perineuronal nets in adolescent alcohol-induced deficits,PSYCHIATRY,PSYCHIATRY,SCHOOLS OF MEDICINE,"$143,750","$79,781","$223,531",4,CHAPEL HILL,NORTH CAROLINA,27599,Y,UNIVERSITY OF NORTH CAROLINA SCH OF MED,SCHOOLS OF MEDICINE,4/16/24,PA-20-195
UNIV OF NORTH CAROLINA CHAPEL HILL,578206,5R01DK072193-18,RPGs - Non SBIR/STTR,10904013,"MOHLKE, KAREN L.",1926198,Targeted Genetic Analysis of T2D and Quantitative Traits,GENETICS,GENETICS,SCHOOLS OF MEDICINE,"$395,552","$172,977","$568,529",4,CHAPEL HILL,NORTH CAROLINA,27599,Y,UNIVERSITY OF NORTH CAROLINA SCH OF MED,SCHOOLS OF MEDICINE,8/1/24,PA-19-056
UNIV OF NORTH CAROLINA CHAPEL HILL,578206,5T32AI007419-32,Training - Institutional,10906165,"HEISE, MARK T",1867091,Molecular Biology of Viral Diseases Predoctoral Training Grant,GENETICS,GENETICS,SCHOOLS OF MEDICINE,"$232,870","$13,590","$198,475",4,CHAPEL HILL,NORTH CAROLINA,27599,Y,UNIVERSITY OF NORTH CAROLINA SCH OF MED,SCHOOLS OF MEDICINE,6/29/24,PA-20-142
UNIV OF NORTH CAROLINA CHAPEL HILL,578206,5R01HL165294-02,RPGs - Non SBIR/STTR,10906162,"JENSEN, BRIAN C",9612494,Defining the role of mitochondrial injury in MEK inhibitor cardiotoxicity,MEDICINE,INTERNAL MEDICINE/MEDICINE,SCHOOLS OF MEDICINE,"$348,228","$161,060","$509,288",4,CHAPEL HILL,NORTH CAROLINA,27599,Y,UNIVERSITY OF NORTH CAROLINA SCH OF MED,SCHOOLS OF MEDICINE,7/22/24,PA-20-185
UNIV OF NORTH CAROLINA CHAPEL HILL,578206,5R01HL155261-04,RPGs - Non SBIR/STTR,10906092,"RIBEIRO, CARLA MARIA PEDROSA",7752260,Pre-Clinical Evaluation of IRE1beta as a Novel Therapeutic Target for Cystic Fibrosis Airway Mucus Production,MEDICINE,INTERNAL MEDICINE/MEDICINE,SCHOOLS OF MEDICINE,"$294,000","$161,261","$455,261",4,CHAPEL HILL,NORTH CAROLINA,27599,Y,UNIVERSITY OF NORTH CAROLINA SCH OF MED,SCHOOLS OF MEDICINE,8/27/24,PA-20-185
UNIV OF NORTH CAROLINA CHAPEL HILL,578206,2R01DK093757-11,RPGs - Non SBIR/STTR,10905645,"MOHLKE, KAREN L.",1926198,Genetic epidemiology of rare and regulatory variants for metabolic traits,GENETICS,GENETICS,SCHOOLS OF MEDICINE,"$432,909","$205,832","$638,741",4,CHAPEL HILL,NORTH CAROLINA,27599,Y,UNIVERSITY OF NORTH CAROLINA SCH OF MED,SCHOOLS OF MEDICINE,4/30/24,PA-20-185
UNIV OF NORTH CAROLINA CHAPEL HILL,578206,1R13HD115387-01,Other Research-Related,10905575,"HUSSONG, ANDREA M",2049968,Global Perspectives on Implications of Developmental Science to Address Adolescent Resilience to Sociocultural and Ecological Challenges,PSYCHOLOGY AND NEUROSCIENCE,PSYCHOLOGY,SCHOOLS OF ARTS AND SCIENCES,"$15,000",$0,"$15,000",4,CHAPEL HILL,NORTH CAROLINA,27599,,UNIVERSITY OF NORTH CAROLINA SCH OF MED,SCHOOLS OF ARTS AND SCIENCES,3/13/24,PA-21-151
UNIV OF NORTH CAROLINA CHAPEL HILL,578206,1R01HL174038-01,RPGs - Non SBIR/STTR,10905253,"NGUYEN, JULIANE",11955071,Maximizing Therapeutic Accumulation and Retention for Enhanced Cardiac Repair,PHARMACOENGINEERING AND MOLEC PHARMACEUTICS,PHARMACOLOGY,SCHOOLS OF PHARMACY,"$489,460","$217,258","$706,718",4,CHAPEL HILL,NORTH CAROLINA,27599,,UNIVERSITY OF NORTH CAROLINA SCH OF MED,SCHOOLS OF PHARMACY,3/15/24,PA-20-185
UNIV OF NORTH CAROLINA CHAPEL HILL,578206,5K23HD111623-02,Other Research-Related,10906753,"JACKSON, WESLEY M",15581329,Dose Optimization for Novel Drugs for Infants with Hypoxic-Ischemic Encephalopathy,PEDIATRICS,PEDIATRICS,SCHOOLS OF MEDICINE,"$159,797","$12,784","$172,581",4,CHAPEL HILL,NORTH CAROLINA,27599,Y,UNIVERSITY OF NORTH CAROLINA SCH OF MED,SCHOOLS OF MEDICINE,8/15/24,PA-20-206
UNIV OF NORTH CAROLINA CHAPEL HILL,578206,5F32GM151822-02,Training - Individual,10906659,"TUREK-HERMAN, JOSHUA RAY",77981113,Biosynthesis of Several Oxyvinylglycine Nonproteinogenic Amino Acids Bearing Unusual Alkoxyamine Bonds,CHEMISTRY,CHEMISTRY,SCHOOLS OF ARTS AND SCIENCES,"$73,828",,"$73,828",4,CHAPEL HILL,NORTH CAROLINA,27599,,UNIVERSITY OF NORTH CAROLINA SCH OF MED,SCHOOLS OF ARTS AND SCIENCES,7/15/24,PA-21-048
UNIV OF NORTH CAROLINA CHAPEL HILL,578206,5U01CA274298-03,RPGs - Non SBIR/STTR,10906788,"YEH, JEN JEN",9084260,Integrating tumor and stroma to understand and predict treatment response,SURGERY,SURGERY,SCHOOLS OF MEDICINE,"$626,083","$243,748","$869,831",4,CHAPEL HILL,NORTH CAROLINA,27599,Y,UNIVERSITY OF NORTH CAROLINA SCH OF MED,SCHOOLS OF MEDICINE,8/7/24,RFA-CA-21-041
UNIV OF NORTH CAROLINA CHAPEL HILL,578206,5P50HD103573-05,Research Centers,10906773,"DICHTER, GABRIEL S",6250612,Clinical Translational Research Center for Neurodevelopmental Disorders,PSYCHIATRY,PSYCHIATRY,SCHOOLS OF MEDICINE,"$800,000","$444,000","$1,244,000",4,CHAPEL HILL,NORTH CAROLINA,27599,Y,UNIVERSITY OF NORTH CAROLINA SCH OF MED,SCHOOLS OF MEDICINE,7/5/24,RFA-HD-20-016
UNIV OF NORTH CAROLINA CHAPEL HILL,578206,5R01AR081287-03,RPGs - Non SBIR/STTR,10906236,"FRANZ, JASON R",10604849,A framework for feasible translation to enhance foot and ankle function in aging and mobility,BIOMEDICAL ENGINEERING,BIOMEDICAL ENGINEERING,SCHOOLS OF MEDICINE,"$419,262","$98,229","$517,491",4,CHAPEL HILL,NORTH CAROLINA,27599,Y,UNIVERSITY OF NORTH CAROLINA SCH OF MED,SCHOOLS OF MEDICINE,8/13/24,PA-20-185
UNIV OF NORTH CAROLINA CHAPEL HILL,578206,5R01AR079538-03,RPGs - Non SBIR/STTR,10906863,"PHANSTIEL, DOUGLAS H.",10998547,"Identifying novel osteoarthritis risk genes using GWAS, chondrocyte genomics, and genome editing",CELL BIOLOGY AND PHYSIOLOGY,PHYSIOLOGY,SCHOOLS OF MEDICINE,"$315,143","$169,046","$484,189",4,CHAPEL HILL,NORTH CAROLINA,27599,Y,UNIVERSITY OF NORTH CAROLINA SCH OF MED,SCHOOLS OF MEDICINE,8/14/24,PA-20-185
UNIV OF NORTH CAROLINA CHAPEL HILL,578206,5R01HL165785-03,RPGs - Non SBIR/STTR,10906924,"CONLON, FRANK LEO",1932278,Function and regulation of chromatin remodeling complexes in cardiac development and disease,GENETICS,GENETICS,SCHOOLS OF MEDICINE,"$359,416","$195,763","$555,179",4,CHAPEL HILL,NORTH CAROLINA,27599,Y,UNIVERSITY OF NORTH CAROLINA SCH OF MED,SCHOOLS OF MEDICINE,8/28/24,PA-20-185
UNIV OF NORTH CAROLINA CHAPEL HILL,578206,5K01HD109445-03,Other Research-Related,10906946,"GARIC, DEA",15594247,The Role of CSF Dynamics in Infant Brain and Behavioral Development in Down Syndrome and Related Neurodevelopmental Disorders,PSYCHIATRY,PSYCHIATRY,SCHOOLS OF MEDICINE,"$124,095","$9,928","$134,023",4,CHAPEL HILL,NORTH CAROLINA,27599,Y,UNIVERSITY OF NORTH CAROLINA SCH OF MED,SCHOOLS OF MEDICINE,8/15/24,PA-20-190
UNIV OF NORTH CAROLINA CHAPEL HILL,578206,1R13MH133380-01A1,Other Research-Related,10907130,"CROWLEY, JAMES JOSEPH",8720728,Annual Latin American Congress on OCD,GENETICS,GENETICS,SCHOOLS OF MEDICINE,"$20,000",$0,"$20,000",4,CHAPEL HILL,NORTH CAROLINA,27599,Y,UNIVERSITY OF NORTH CAROLINA SCH OF MED,SCHOOLS OF MEDICINE,5/31/24,PA-21-151
UNIV OF NORTH CAROLINA CHAPEL HILL,578206,5R01AG084207-02,RPGs - Non SBIR/STTR,10906982,"SONG, JUAN",12291069,Enhancing adult-born neurons to restore brain functions in Alzheimer's disease,PHARMACOLOGY,PHARMACOLOGY,SCHOOLS OF MEDICINE,"$459,772","$255,173","$714,945",4,CHAPEL HILL,NORTH CAROLINA,27599,Y,UNIVERSITY OF NORTH CAROLINA SCH OF MED,SCHOOLS OF MEDICINE,7/31/24,PA-20-185
UNIV OF NORTH CAROLINA CHAPEL HILL,578206,5K23DA057416-03,Other Research-Related,10907556,"ENYIOHA, CHINEME IJEOMA",15656400,Development of a prototype for a mobile health intervention for smoking cessation with features culturally adapted for African American smokers,FAMILY MEDICINE,FAMILY MEDICINE,SCHOOLS OF MEDICINE,"$186,403","$14,912","$201,315",4,CHAPEL HILL,NORTH CAROLINA,27599,Y,UNIVERSITY OF NORTH CAROLINA SCH OF MED,SCHOOLS OF MEDICINE,8/13/24,PA-20-205
