ORGANIZATION NAME,ORGANIZATION ID (IPF),PROJECT NUMBER,FUNDING MECHANISM,NIH REFERENCE,PI NAME,PI PERSON ID,PROJECT TITLE,DEPT NAME,NIH DEPT COMBINING NAME,NIH MC COMBINING NAME,DIRECT COST,INDIRECT COST,FUNDING,CONGRESSIONAL DISTRICT,CITY,STATE OR COUNTRY NAME,ZIP CODE,ATTRIBUTED TO MEDICAL SCHOOL,MEDICAL SCHOOL LOCATION,INSTITUTION TYPE,AWARD NOTICE DATE,OPPORTUNITY NUMBER
ADVANCED SCIENCE RESEARCH CENTER,10023818,5R01GM123012-08,RPGs - Non SBIR/STTR,11000303,"JOHNSON, BRUCE A",12670828,NMRFx: An Integrated software suite for macromolecular NMR analysis,NONE,NONE,ORGANIZED RESEARCH UNITS,"$185,400 ","$105,678 ","$291,078 ",13,NEW YORK,NEW YORK,,,,ORGANIZED RESEARCH UNITS,12/9/24,PA-20-185
ADVANCEDCPR SOLUTIONS LLC,10042726,1R43HL177950-01,RPGs - SBIR/STTR,11067147,"LURIE, KEITH",14714488,Head Up CPR and Aortic Occlusion to Improve Survival after Refractory Cardiac Arrest,,NONE,UNAVAILABLE,,,$1 ,3,MINNEAPOLIS,MINNESOTA,,,,Domestic For-Profits,12/11/24,PA-23-230
ADVENTHEALTH ORLANDO,3327002,5K99DK135915-02,Other Research-Related,11009562,"WHYTOCK, KATIE",78406455,Determining cell- and spatially-distinct skeletal muscle transcriptional aberrations in insulin resistance and type 2 diabetes,,NONE,UNAVAILABLE,"$83,333 ","$6,667 ","$90,000 ",10,ORLANDO,FLORIDA,32803,,,Independent Hospitals,12/18/24,PA-20-188
ADVENTHEALTH ORLANDO,3327002,5K01DK134838-03,Other Research-Related,10989886,"ERICKSON, MELISSA",15344954,Impact of Shiftwork on Metabolic Flexibility and Skeletal Muscle Clocks,,NONE,UNAVAILABLE,"$145,680 ","$11,654 ","$157,334 ",10,ORLANDO,FLORIDA,32803,,,Independent Hospitals,11/20/24,PA-20-190
AGA KHAN UNIVERSITY (PAKISTAN),4110401,5D43TW012733-02,Other Research-Related,11076241,"KHAN, ERUM",14913000,"Integrated Research Training on Vector Borne Diseases in Pakistan: Vector Biology, Virology and Disease Epidemiology.",,NONE,UNAVAILABLE,"$234,013 ","$13,396 ","$247,409 ",,KARACHI,PAKISTAN,74800,,,Unavailable,12/28/24,PAR-21-120
ALASKA NATIVE TRIBAL HEALTH CONSORTIUM,3876801,5U01DE033642-02,RPGs - Non SBIR/STTR,11074670,"THOMAS, TIMOTHY K",11466567,Early Intervention for Childhood Caries to Address Alaska Native Disparities in Oral Health,,NONE,UNAVAILABLE,"$374,918 ","$10,791 ","$385,709 ",At-Large,ANCHORAGE,ALASKA,99508,,,Other Domestic Non-Profits,1/15/25,PAR-20-238
ALBANY MEDICAL COLLEGE,8455007,5R01HL160661-04,RPGs - Non SBIR/STTR,10991302,"JAITOVICH, ADOLFO ARIEL",11002234,Metabolic regulation of hypercapnic chronic obstructive pulmonary disease (COPD)-driven skeletal muscle dysfunction,MOLECULAR AND CELLULAR PHYSIOLOGY,PHYSIOLOGY,SCHOOLS OF MEDICINE,"$302,316 ","$190,458 ","$492,774 ",20,ALBANY,NEW YORK,12208,Y,ALBANY MEDICAL COLLEGE,SCHOOLS OF MEDICINE,11/21/24,PA-20-185
ALBANY MEDICAL COLLEGE,8455007,5R01AI179706-02,RPGs - Non SBIR/STTR,11010869,"HAZLETT, KARSTEN R.O.",8635107,Translation of a highly protective tularemia vaccine to the NHP model,REGENERATIVE AND CANCER CELL BIOLOGY,ANATOMY/CELL BIOLOGY,SCHOOLS OF MEDICINE,"$742,934 ","$44,666 ","$787,600 ",20,ALBANY,NEW YORK,12208,Y,ALBANY MEDICAL COLLEGE,SCHOOLS OF MEDICINE,12/10/24,PA-20-185
ALBANY MEDICAL COLLEGE,8455007,1R21NS140782-01,RPGs - Non SBIR/STTR,11036466,"MONGIN, ALEXANDER A",1976822,Role of LRRC8 Anion Channels in Brain Taurine Signaling and Body Fluid Homeostasis,NEUROSCIENCE AND EXPERIMENTAL THERAPEUTICS,OTHER BASIC SCIENCES,SCHOOLS OF MEDICINE,"$150,000 ","$95,938 ","$245,938 ",20,ALBANY,NEW YORK,12208,Y,ALBANY MEDICAL COLLEGE,SCHOOLS OF MEDICINE,11/29/24,PA-21-219
ALBERT EINSTEIN COLLEGE OF MEDICINE,10053556,1R01AI187024-01,RPGs - Non SBIR/STTR,11017172,"HEROLD, BETSY C.",1877887,The Unexpected Role of TNFRSF14 Signaling in Promoting Antibody-Dependent Cell-Mediated Cytotoxicity,PEDIATRICS,PEDIATRICS,SCHOOLS OF MEDICINE,"$300,000 ","$204,000 ","$504,000 ",14,BRONX,NEW YORK,,Y,,SCHOOLS OF MEDICINE,11/7/24,RFA-AI-23-054
ALBERT EINSTEIN COLLEGE OF MEDICINE,10053556,5R01GM119160-09,RPGs - Non SBIR/STTR,10994593,"JENNY, ANDREAS",7896676,Endosomal Microautophagy in Drosophila,NONE,NONE,UNIVERSITY-WIDE,"$250,185 ","$170,125 ","$420,310 ",14,BRONX,NEW YORK,,,,UNIVERSITY-WIDE,12/10/24,PA-20-185
ALBERT EINSTEIN COLLEGE OF MEDICINE,10053556,1R21AI188908-01,RPGs - Non SBIR/STTR,11072812,"KIELIAN, MARGARET",1866114,Role of cell-to-cell transmission in alphavirus infection and disease,CELL BIOLOGY,ANATOMY/CELL BIOLOGY,SCHOOLS OF MEDICINE,"$181,269 ","$71,996 ","$253,265 ",14,BRONX,NEW YORK,,Y,,SCHOOLS OF MEDICINE,11/20/24,PA-20-195
ALBERT EINSTEIN COLLEGE OF MEDICINE,10053556,5R01AI134367-08,RPGs - Non SBIR/STTR,11040322,"HEROLD, BETSY C.",1877887,Mechanisms Underlying the HIV-HSV-2 Syndemic,NONE,NONE,UNIVERSITY-WIDE,"$603,787 ","$190,739 ","$794,526 ",14,BRONX,NEW YORK,,,,UNIVERSITY-WIDE,12/17/24,PA-20-185
ALBERT EINSTEIN COLLEGE OF MEDICINE,10053556,5R01CA262132-03,RPGs - Non SBIR/STTR,10992120,"ZANG, XINGXING",9401749,A New Immune Checkpoint Pathway in Human Bladder Cancer,NONE,NONE,UNIVERSITY-WIDE,"$292,221 ","$198,710 ","$490,931 ",14,BRONX,NEW YORK,,,,UNIVERSITY-WIDE,11/14/24,PAR-19-183
ALBERT EINSTEIN COLLEGE OF MEDICINE,10053556,1R01CA289734-01A1,RPGs - Non SBIR/STTR,11049844,"GUO, WENJUN",9835506,Targeting lineage plasticity to inhibit basal-like breast cancer progression,CELL BIOLOGY,ANATOMY/CELL BIOLOGY,SCHOOLS OF MEDICINE,"$323,346 ","$219,875 ","$543,221 ",14,BRONX,NEW YORK,,Y,,SCHOOLS OF MEDICINE,12/4/24,PA-20-185
ALBERT EINSTEIN COLLEGE OF MEDICINE,10053556,1R01HL172972-01A1,RPGs - Non SBIR/STTR,11050107,"SAEED, OMAR",14322689,Sildenafil to Reduce Vascular Remodeling during Left Ventricular Assist Device Support,MEDICINE,INTERNAL MEDICINE/MEDICINE,SCHOOLS OF MEDICINE,"$271,325 ","$184,501 ","$455,826 ",14,BRONX,NEW YORK,,Y,,SCHOOLS OF MEDICINE,12/6/24,PA-20-183
ALBERT EINSTEIN COLLEGE OF MEDICINE,10053556,3R01AI169636-03S1,RPGs - Non SBIR/STTR,11231762,"FELSEN, URIEL",11492599,"ED2PrEP - patient focused, low-burden strategies for PrEP uptake among emergency departments patients: a cross-over hybrid implementation-effectiveness trial",NONE,NONE,UNIVERSITY-WIDE,"$34,504 ","$23,463 ","$57,967 ",14,BRONX,NEW YORK,,,,UNIVERSITY-WIDE,12/23/24,RFA-AI-21-025
ALBERT EINSTEIN COLLEGE OF MEDICINE,10053556,5R01AI145679-05,RPGs - Non SBIR/STTR,10975904,"BRUST, JAMES C M",9583168,Emergence of bedaquiline and clofazimine resistance after interruption of drug-resistant TB therapy in a high HIV prevalence setting,,NONE,UNAVAILABLE,"$567,035 ","$156,301 ","$723,336 ",14,BRONX,NEW YORK,,,,Domestic Higher Education,12/12/24,PA-19-056
ALBERT EINSTEIN COLLEGE OF MEDICINE,10053556,5R01GM057829-27,RPGs - Non SBIR/STTR,11007253,"QUERY, CHARLES C",1931229,Protein RNA Rearrangements in the Spliceosome,NONE,NONE,UNIVERSITY-WIDE,"$296,985 ","$201,950 ","$498,935 ",14,BRONX,NEW YORK,,,,UNIVERSITY-WIDE,1/7/25,PA-20-185
ALBERT EINSTEIN COLLEGE OF MEDICINE,10053556,5R01NS127697-03,RPGs - Non SBIR/STTR,10990499,"HOLTZER, ROEE",8752439,Central Control and Neuroinflammatory Mechanisms of Locomotion in Older Adults with HIV,NONE,NONE,UNIVERSITY-WIDE,"$522,276 ","$199,467 ","$721,743 ",14,BRONX,NEW YORK,,,,UNIVERSITY-WIDE,11/18/24,PAR-21-068
ALBERT EINSTEIN COLLEGE OF MEDICINE,10053556,5R01HL172073-02,RPGs - Non SBIR/STTR,11005297,"CHEN, WEI",11640137,Calciprotein Particles and Vascular Calcification in Patients with Chronic Kidney Disease,NONE,NONE,UNIVERSITY-WIDE,"$419,428 ","$261,566 ","$680,994 ",14,BRONX,NEW YORK,,,,UNIVERSITY-WIDE,12/20/24,PA-20-185
ALBERT EINSTEIN COLLEGE OF MEDICINE,10053556,1R01HL173191-01A1,RPGs - Non SBIR/STTR,11049440,"FRANGOGIANNIS, NIKOLAOS G",7729979,Macrophages in Myocardial Infarction,MEDICINE,INTERNAL MEDICINE/MEDICINE,SCHOOLS OF MEDICINE,"$466,789 ","$317,417 ","$784,206 ",14,BRONX,NEW YORK,,Y,,SCHOOLS OF MEDICINE,12/16/24,PA-20-185
ALBERT EINSTEIN COLLEGE OF MEDICINE,10053556,5R01MH078064-20,RPGs - Non SBIR/STTR,11015079,"RADULOVIC, JELENA",8023938,Mechanisms of Stress-Enhanced Aversive Conditioning,NONE,NONE,UNIVERSITY-WIDE,"$347,270 ","$236,142 ","$583,412 ",14,BRONX,NEW YORK,,,,UNIVERSITY-WIDE,1/24/25,PA-20-185
ALBERT EINSTEIN COLLEGE OF MEDICINE,10053556,2R01DK067555-16,RPGs - Non SBIR/STTR,11047491,"TOMER, YARON",1973042,Analyzing Genes for Autoimmune Thyroiditis and Diabetes: Translation to Therapy,NONE,NONE,UNIVERSITY-WIDE,"$307,887 ","$202,577 ","$510,464 ",14,BRONX,NEW YORK,,,,UNIVERSITY-WIDE,11/26/24,PA-20-185
ALBERT EINSTEIN COLLEGE OF MEDICINE,10053556,1R21AI186033-01A1,RPGs - Non SBIR/STTR,11138465,"LAUVAU, GREGOIRE STEPHANE",9793521,Dissecting how rapid microbial pathogen containment occurs in vivo,MICROBIOLOGY AND IMMUNOLOGY,MICROBIOLOGY/IMMUN/VIROLOGY,SCHOOLS OF MEDICINE,"$145,500 ","$98,940 ","$244,440 ",14,BRONX,NEW YORK,,Y,,SCHOOLS OF MEDICINE,1/14/25,PA-20-195
ALBERT EINSTEIN COLLEGE OF MEDICINE,10053556,3R01CA262132-03S1,RPGs - Non SBIR/STTR,11211170,"ZANG, XINGXING",9401749,A New Immune Checkpoint Pathway in Human Bladder Cancer,NONE,NONE,UNIVERSITY-WIDE,"$54,554 ","$37,097 ","$91,651 ",14,BRONX,NEW YORK,,,,UNIVERSITY-WIDE,11/15/24,PAR-19-183
ALBERT EINSTEIN COLLEGE OF MEDICINE,10053556,5R24OD010943-29,Other Research-Related,10984971,"HALL, DAVID H.",1885591,Center for C elegans Anatomy,NONE,NONE,UNIVERSITY-WIDE,"$423,296 ","$118,451 ","$541,747 ",14,BRONX,NEW YORK,,,,UNIVERSITY-WIDE,11/28/24,RFA-OD-19-027
ALBERT EINSTEIN COLLEGE OF MEDICINE,10053556,5K23MH128582-04,Other Research-Related,10994648,"BRESLOW, AARON S",15812384,Mapping Interventions to Reduce Mental Health Services Disparities among Transgender and Nonbinary Adults,NONE,NONE,UNIVERSITY-WIDE,"$147,500 ","$10,780 ","$158,280 ",14,BRONX,NEW YORK,,,,UNIVERSITY-WIDE,12/9/24,PA-20-205
ALBERT EINSTEIN COLLEGE OF MEDICINE,10053556,5R01AI173328-03,RPGs - Non SBIR/STTR,10974471,"BERNEY, MICHAEL",11329317,Identification of new inhibitors of essential functions in M. tuberculosis by high-throughput metabolic profiling,NONE,NONE,UNIVERSITY-WIDE,"$435,888 ","$200,924 ","$636,812 ",14,BRONX,NEW YORK,,,,UNIVERSITY-WIDE,10/25/24,PA-20-185
ALBERT EINSTEIN COLLEGE OF MEDICINE,10053556,5F30CA278322-02,Training - Individual,10984451,"BELL, BRETT I",16054390,Anti-Complement Immunotherapy for Pancreatic Cancer,NONE,NONE,UNIVERSITY-WIDE,"$53,974 ",,"$53,974 ",14,BRONX,NEW YORK,,,,UNIVERSITY-WIDE,1/13/25,PA-21-049
ALBERT EINSTEIN COLLEGE OF MEDICINE,10053556,1U01AI187051-01,RPGs - Non SBIR/STTR,11017476,"GUHA, CHANDAN",7274991,Thrombopoietin mimetic (TPOm) as a medical countermeasure for GI-ARS,RADIATION ONCOLOGY,RADIATION-DIAGNOSTIC/ONCOLOGY,SCHOOLS OF MEDICINE,"$426,876 ","$166,947 ","$593,823 ",14,BRONX,NEW YORK,,Y,,SCHOOLS OF MEDICINE,12/5/24,RFA-AI-23-059
ALBERT EINSTEIN COLLEGE OF MEDICINE,10053556,5R01DC011099-15,RPGs - Non SBIR/STTR,10999430,"PEREDA, ALBERTO E",1972924,Plasticity of auditory electrical synapses,NONE,NONE,UNIVERSITY-WIDE,"$352,081 ","$201,052 ","$553,133 ",14,BRONX,NEW YORK,,,,UNIVERSITY-WIDE,12/17/24,PA-20-185
ALBERT EINSTEIN COLLEGE OF MEDICINE,10053556,5F30HL172604-02,Training - Individual,11074019,"MILLER, DANIELLA",16056049,Investigation of Chromatin Modifiers to Elucidate the Phenotypic Variability of Congenital Heart Disease in Patients with 22q11.2 Deletion Syndrome,NONE,NONE,UNIVERSITY-WIDE,"$53,974 ",,"$53,974 ",14,BRONX,NEW YORK,,,,UNIVERSITY-WIDE,12/10/24,PA-21-049
ALBERT EINSTEIN COLLEGE OF MEDICINE,10053556,1R01DK139610-01A1,RPGs - Non SBIR/STTR,11045997,"YANG, FAJUN JAMES",9708633,Regulation of adipose tissue remodeling by the CCNC-Mediator,NONE,NONE,UNIVERSITY-WIDE,"$339,445 ","$230,823 ","$570,268 ",14,BRONX,NEW YORK,,,,UNIVERSITY-WIDE,12/27/24,PA-20-185
ALBERT EINSTEIN COLLEGE OF MEDICINE,10053556,1R01AI184416-01A1,RPGs - Non SBIR/STTR,11095559,"BRUST, JAMES C M",9583168,Therapeutic drug monitoring for linezolid in the treatment of rifampin-resistant tuberculosis: a pragmatic randomized controlled trial,NONE,NONE,UNIVERSITY-WIDE,"$551,402 ","$215,475 ","$766,877 ",14,BRONX,NEW YORK,,,,UNIVERSITY-WIDE,11/27/24,PA-20-183
ALBERT EINSTEIN COLLEGE OF MEDICINE,10053556,5F31MH132471-03,Training - Individual,11016980,"RUIZ, VANESSA",11278543,Characterizing subsets of HIV-infected and uninfected CD14+CD16+ monocytes that contribute to neuropathogenesis,NONE,NONE,UNIVERSITY-WIDE,"$53,974 ",,"$53,974 ",14,BRONX,NEW YORK,,,,UNIVERSITY-WIDE,1/13/25,PA-21-052
ALBERT EINSTEIN COLLEGE OF MEDICINE,10053556,5R01AI125244-09,RPGs - Non SBIR/STTR,10983356,"WILSON, DUNCAN W.",1902011,Neurotropic herpesvirus envelopment and microtubule-mediated transport,NONE,NONE,UNIVERSITY-WIDE,"$463,103 ","$262,802 ","$725,905 ",14,BRONX,NEW YORK,,,,UNIVERSITY-WIDE,11/6/24,PA-20-185
ALBERT EINSTEIN COLLEGE OF MEDICINE,10053556,5R01HL163635-03,RPGs - Non SBIR/STTR,10983758,"SIBINGA, NICHOLAS E",1939506,FAT cadherins and vascular remodeling,NONE,NONE,UNIVERSITY-WIDE,"$313,933 ","$213,474 ","$527,407 ",14,BRONX,NEW YORK,,,,UNIVERSITY-WIDE,11/15/24,PA-20-185
ALBERT EINSTEIN COLLEGE OF MEDICINE,10053556,5T32HL172255-02,Training - Institutional,11005323,"REZNIK, MARINA",9722079,Purposeful Outreach for Diversity and Inclusion of Underrepresented in Medicine (PODIUM) Physician-Scientists,NONE,NONE,UNIVERSITY-WIDE,"$297,396 ","$20,480 ","$317,876 ",14,BRONX,NEW YORK,,,,UNIVERSITY-WIDE,12/17/24,RFA-HL-22-001
ALBERT EINSTEIN COLLEGE OF MEDICINE,10053556,1R21AI188626-01A1,RPGs - Non SBIR/STTR,11143463,"LAUVAU, GREGOIRE STEPHANE",9793521,Role of cytolytic ZEB2+ memory CD4+ T cells in protection against liver stage malaria,MICROBIOLOGY AND IMMUNOLOGY,MICROBIOLOGY/IMMUN/VIROLOGY,SCHOOLS OF MEDICINE,"$145,500 ","$98,940 ","$244,440 ",14,BRONX,NEW YORK,,Y,,SCHOOLS OF MEDICINE,1/14/25,PA-20-195
ALBERT EINSTEIN COLLEGE OF MEDICINE,10053556,5R01HL085440-19,RPGs - Non SBIR/STTR,11002345,"FRANGOGIANNIS, NIKOLAOS G",7729979,Resolution of inflammation in healing myocardial infarcts,NONE,NONE,UNIVERSITY-WIDE,"$380,024 ","$258,416 ","$638,440 ",14,BRONX,NEW YORK,,,,UNIVERSITY-WIDE,1/1/25,PA-20-185
ALBERT EINSTEIN COLLEGE OF MEDICINE,10053556,5R01DK131176-04,RPGs - Non SBIR/STTR,10978204,"REIDY, KIMBERLY JEAN",10194509,Cell specific Partitioning Defective Par1a/b deletion effects on renal repair,NONE,NONE,UNIVERSITY-WIDE,"$227,483 ","$154,689 ","$382,172 ",14,BRONX,NEW YORK,,,,UNIVERSITY-WIDE,11/26/24,PA-20-185
ALBERT EINSTEIN COLLEGE OF MEDICINE,10053556,1R21CA295643-01,RPGs - Non SBIR/STTR,11024638,"AUGENLICHT, LEONARD H",1866430,Prevention and Therapy of Inflammation Associated Colorectal Cancer,,NONE,UNAVAILABLE,"$140,250 ","$95,370 ","$235,620 ",14,BRONX,NEW YORK,,,,Domestic Higher Education,12/11/24,PAR-22-216
ALBERT EINSTEIN COLLEGE OF MEDICINE,10053556,5R01AI175972-03,RPGs - Non SBIR/STTR,11014425,"BERNEY, MICHAEL",11329317,The PDIM paradox of M. tuberculosis,NONE,NONE,UNIVERSITY-WIDE,"$298,691 ","$203,110 ","$501,801 ",14,BRONX,NEW YORK,,,,UNIVERSITY-WIDE,1/7/25,PA-20-185
ALBERT EINSTEIN COLLEGE OF MEDICINE,10053556,5R01HL163192-03,RPGs - Non SBIR/STTR,11001988,"RIASCOS BERNAL, DARIO FERNANDO",14172392,Endothelial Cell Respiration in Atherosclerotic Plaque Erosion,NONE,NONE,UNIVERSITY-WIDE,"$233,274 ","$158,626 ","$391,900 ",14,BRONX,NEW YORK,,,,UNIVERSITY-WIDE,11/29/24,PA-20-185
ALBERT EINSTEIN COLLEGE OF MEDICINE,10053556,5R01NS119255-05,RPGs - Non SBIR/STTR,11001184,"MOLERO, ALDRIN ENRIQUE",9351432,The Pathogenic Role of Interneurons in Huntington's Disease,NONE,NONE,UNIVERSITY-WIDE,"$326,671 ","$222,136 ","$548,807 ",14,BRONX,NEW YORK,,,,UNIVERSITY-WIDE,11/27/24,PA-19-056
ALBERT EINSTEIN COLLEGE OF MEDICINE,10053556,5R01CA175495-12,RPGs - Non SBIR/STTR,11002277,"ZANG, XINGXING",9401749,The B7x pathways in the tumor microenvironment,,NONE,UNAVAILABLE,"$213,750 ","$145,350 ","$359,100 ",14,BRONX,NEW YORK,,,,Domestic Higher Education,11/15/24,PA-19-056
ALBERT EINSTEIN COLLEGE OF MEDICINE,10053556,5R01ES007331-31,RPGs - Non SBIR/STTR,10991316,"ASCHNER, MICHAEL",1889672,Mechanisms of Methylmercury Induced Neuronal Toxicity,NONE,NONE,UNIVERSITY-WIDE,"$481,188 ","$125,875 ","$607,063 ",14,BRONX,NEW YORK,,,,UNIVERSITY-WIDE,11/14/24,PA-20-185
ALBERT EINSTEIN COLLEGE OF MEDICINE,10053556,5R01AG081283-02,RPGs - Non SBIR/STTR,11018597,"JENNY, ANDREAS",7896676,The role of Lamp1 and lipid transport in the regulation of vesicle identity,NONE,NONE,UNIVERSITY-WIDE,"$406,995 ","$133,992 ","$540,987 ",14,BRONX,NEW YORK,,,,UNIVERSITY-WIDE,1/16/25,PA-20-185
ALBERT EINSTEIN COLLEGE OF MEDICINE,10053556,1R35GM156415-01,RPGs - Non SBIR/STTR,11011071,"DAWLATY, MEELAD",10436911,Epigenetic regulation of embryonic stem cell biology by Tet enzymes,GENETICS,GENETICS,SCHOOLS OF MEDICINE,"$275,000 ","$187,000 ","$462,000 ",14,BRONX,NEW YORK,,Y,,SCHOOLS OF MEDICINE,12/24/24,PAR-22-180
ALBERT EINSTEIN COLLEGE OF MEDICINE,10053556,1R01CA289319-01A1,RPGs - Non SBIR/STTR,11030922,"SUN, ZIJIE",1897237,A new and non-autonomous role of androgen signaling in prostate tumorigenesis,CELL BIOLOGY,ANATOMY/CELL BIOLOGY,SCHOOLS OF MEDICINE,"$318,651 ","$216,683 ","$535,334 ",14,BRONX,NEW YORK,,Y,,SCHOOLS OF MEDICINE,12/11/24,PA-20-185
ALBERT EINSTEIN COLLEGE OF MEDICINE,10053556,5R01DK134333-03,RPGs - Non SBIR/STTR,10984454,"JO, YOUNG-HWAN",7367281,Role of cholinergic innervation of the liver,NONE,NONE,UNIVERSITY-WIDE,"$270,672 ","$184,057 ","$454,729 ",14,BRONX,NEW YORK,,,,UNIVERSITY-WIDE,11/13/24,PA-20-185
ALBERT EINSTEIN COLLEGE OF MEDICINE,10053556,5K01HL169019-02,Other Research-Related,11003733,"WANG, ZHENG",78178359,Multiomics analysis of the microbiome and subclinical cardiovascular disease in HIV infection,NONE,NONE,UNIVERSITY-WIDE,"$153,369 ","$12,270 ","$165,639 ",14,BRONX,NEW YORK,,,,UNIVERSITY-WIDE,12/17/24,PA-20-190
